Dataset,Formula,F1,Rho,Tau,Videos
summe,s_mul_fs_add_fv,0.3625569948378731,0.01657186807524789,0.013646797758762411,17
summe,s_mul_fs,0.3771613845053841,0.013839539950288159,0.010757308078699923,17
summe,s_only,0.36451608556158405,0.007231389438632358,0.005993366177774601,17
summe,s_add_fs,0.36592808804091287,0.01621286186838084,0.013353323410003412,17
tvsum,s_mul_fs_add_fv,0.5629942958950996,0.007203232300250861,0.005898207616794057,50
tvsum,s_mul_fs,0.5275728926360607,0.005913461926647195,0.004920542388321235,50
tvsum,s_only,0.5359758594930172,0.011495098547873171,0.010227506358956369,50
tvsum,s_add_fs,0.567887931406498,0.007622610193427279,0.006240952102510862,50
